EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,BusinessUnit,HireDate,YearsAtCompany,YearsInCurrentRole,ManagerID,ManagerSatisfaction,PerformanceRating,TrainingHoursLastYear,Certifications,WorkLifeBalance,JobSatisfaction,Overtime,RemoteWorkFrequency,MonthlyIncome,BonusPercentage,StockOptionLevel,PromotionLast3Years,LeavesTaken,AbsenteeismDays,HealthInsurance,CommuteDistance,City,State,Country,TravelFrequency,ProjectsHandled,TeamSize,Attrition,ExitReason,RehireEligibility,EngagementScore,LastPerformanceReview,YearsAtCompany_bin,YearsInCurrentRole_bin,TrainingHoursLastYear_bin,PromotionLast3Years_bin,_target_numeric
93,Hansh,Balan,female,60,marrid,postgraduate,quality assurance,customer support rep,corporate,26-03-2020,5,5,,2,3,8.0,1,0,2,no,rarely,42419,30,2,2,,17,no,29,kolkata,west bengal,india,always,8,14,yes,work-life balance,no,17,27-03-2020,3-5,3-5,5-10,1-3,1
94,Elakshi,Chatterjee,femle,56,divorced,postgraduate,quality assurance,content writer,technology,20-12-2018,7,7,,3,6,99.0,1,2,1,yes,always,21316,11,3,1,,17,no,35,kanpur,uttar pradesh,india,always,15,1,yes,career growth,yes,70,02-08-2024,5-10,5-10,10+,0-1,1
95,Saanvi,Vora,male,60,marrid,graduate,i.t,project manager,corporate,18-11-2020,5,4,,3,3,34.0,0,2,3,yes,rarely,79927,28,3,2,4.0,16,yes,18,lucknow,uttar pradesh,india,frequently,14,ten,yes,,yes,20,17-05-2021,3-5,3-5,10+,1-3,1
96,Kashvi,Ram,other,19,widowed,graduate,information tech,sales executive,field sales,01-09-2014,11,10,95.0,5,6,24.0,1,1,4,no,often,56693,26,2,0,,20,yes,21,new delhi,delhi,india,frequently,8,13,no,work-life balance,no,90,25-05-2023,10+,5-10,10+,0-1,0
97,Nitya,Dar,other,48,widowed,high school,legal,software engineer,technology,"Oct 17, 2023",2,2,,1,3,99.0,2,3,2,yes,sometimes,48885,19,2,1,9.0,7,no,16,lucknow,uttar pradesh,india,rarely,0,ten,no,career growth,yes,67,13-09-2024,1-3,1-3,10+,0-1,0
98,Kaira,Iyengar,other,38,single,graduate,finance,content writer,technology,17-03-2018,7,6,190.0,2,1,23.0,1,2,2,yes,never,81656,22,0,3,6.0,7,no,25,coimbatore,tamil nadu,india,always,17,ten,yes,,yes,13,23-08-2019,5-10,5-10,10+,1-3,1
99,Kimaya,Keer,other,49,single,high school,customer support,devops engineer,field sales,"May 29, 2025",0,0,,2,3,43.0,2,2,3,no,never,37428,20,0,2,,6,no,31,udaipur,rajasthan,india,always,14,ten,no,,yes,54,19-07-2025,0-1,0-1,10+,1-3,0
100,Indranil,Zacharia,female,56,divorced,high school,finance,software engineer,field sales,15-04-2013,12,12,,2,5,70.0,0,3,5,yes,often,62190,15,2,5,,17,yes,50,coimbatore,tamil nadu,india,frequently,10,4,no,,yes,72,13-09-2022,10+,10+,10+,3-5,0
101,Samiha,Lall,other,35,marrid,graduate,i.t,r&d scientist,field sales,28-03-2019,6,3,228.0,3,3,21.0,3,2,4,no,rarely,50288,11,3,5,,0,yes,39,kochi,kerala,india,always,9,12,yes,work-life balance,yes,87,21-09-2020,5-10,1-3,10+,3-5,1
102,Neysa,Khare,male,52,marrid,graduate,design,content writer,field sales,07-07-2020,5,2,,5,3,62.0,1,5,2,no,never,22601,12,1,3,9.0,10,no,17,mangalore,karnataka,india,frequently,18,7,no,work-life balance,no,26,18-10-2021,3-5,1-3,10+,1-3,0
103,Ehsaan,Goel,other,43,marrid,high school,quality assurance,data scientist,technology,"Oct 27, 2024",1,0,,4,3,77.0,1,1,4,yes,never,199127,22,3,0,1.0,6,no,27,hyderabad,telangana,india,always,18,6,no,better pay,no,33,24-08-2025,0-1,0-1,10+,0-1,0
104,Shamik,Buch,m,21,married,postgraduate,finance,marketing specialist,field sales,29-08-2018,7,7,397.0,2,2,36.0,3,0,3,yes,sometimes,22960,17,1,0,14.0,3,no,31,hyderabad,telangana,india,frequently,10,ten,yes,,no,22,31-07-2023,5-10,5-10,10+,0-1,1
105,Armaan,Butala,m,57,married,high school,operations,product manager,corporate,"Jul 06, 2009",16,15,194.0,4,6,77.0,5,0,5,no,always,60435,2,1,1,28.0,6,yes,15,new delhi,delhi,india,always,0,1,no,career growth,yes,23,14-08-2020,10+,10+,10+,0-1,0
106,Neelofar,Magar,m,58,married,high school,product,ui/ux designer,technology,"Jul 29, 2021",4,2,,4,1,98.0,3,0,1,no,rarely,97411,27,2,3,,0,no,21,mumbai,maharashtra,bangladesh,always,0,ten,yes,career growth,no,88,27-10-2024,3-5,1-3,10+,1-3,1
107,Ritvik,Basak,femle,56,widowed,postgraduate,r&d,software engineer,corporate,26-06-2012,13,11,,3,5,98.0,2,3,3,yes,always,179600,8,0,0,,9,no,48,pune,maharashtra,bhutan,rarely,10,2,no,,yes,84,03-03-2020,10+,10+,10+,0-1,0
108,Amira,Rege,m,47,marrid,postgraduate,sales,product manager,field sales,"May 30, 2010",15,15,115.0,1,1,16.0,0,3,4,yes,rarely,29900,6,3,3,,14,yes,2,new delhi,delhi,india,always,6,13,no,career growth,no,63,04-02-2025,10+,10+,10+,1-3,0
109,Saira,Goel,other,46,marrid,high school,quality assurance,operations executive,corporate,"Jul 13, 2023",2,0,,1,4,97.0,1,5,3,no,often,98221,18,0,3,15.0,11,yes,4,pune,maharashtra,india,always,1,ten,yes,,yes,35,20-07-2023,1-3,0-1,10+,1-3,1
110,Suhana,Barad,f,25,divorced,doctorate,admin,finance analyst,corporate,03-02-2023,2,0,193.0,5,3,36.0,5,1,1,no,sometimes,194294,16,0,0,,6,no,50,mumbai,maharashtra,india,frequently,16,4,no,career growth,yes,71,21-06-2024,1-3,0-1,10+,0-1,0
111,Emir,Sura,f,37,divorced,graduate,customer support,software engineer,corporate,21-02-2022,3,1,385.0,5,6,16.0,4,2,2,no,often,89740,18,1,3,,8,no,22,hyderabad,telangana,india,frequently,16,4,yes,better pay,no,68,08-04-2025,1-3,0-1,10+,1-3,1
112,Nirvaan,Bala,m,59,married,postgraduate,r&d,product manager,corporate,04-01-2009,16,13,,2,4,64.0,4,3,1,no,sometimes,69837,4,2,1,,20,no,13,siliguri,west bengal,india,always,20,ten,no,career growth,yes,38,27-01-2021,10+,10+,10+,0-1,0
113,Himmat,Shetty,f,41,married,graduate,r&d,r&d scientist,technology,18-03-2019,6,6,,1,2,33.0,5,5,1,no,often,63328,20,1,3,4.0,20,yes,14,pune,maharashtra,bhutan,always,5,ten,yes,work-life balance,no,33,24-05-2025,5-10,5-10,10+,1-3,1
114,Romil,Jhaveri,m,38,widowed,graduate,finance,project manager,field sales,11-01-2011,14,12,,5,4,87.0,2,3,5,no,rarely,83907,18,0,3,,8,no,27,kochi,kerala,india,always,14,2,yes,,yes,74,08-02-2012,10+,10+,10+,1-3,1
115,Baiju,Butala,male,27,single,doctorate,i.t,ui/ux designer,technology,"Jul 21, 2010",15,12,,1,2,86.0,3,1,5,yes,sometimes,117511,13,0,0,30.0,2,no,6,hyderabad,telangana,india,frequently,1,ten,no,work-life balance,no,37,03-07-2013,10+,10+,10+,0-1,0
116,Vihaan,Bali,m,44,marrid,high school,supply chain,ui/ux designer,corporate,12-02-2010,15,13,398.0,1,2,69.0,5,3,1,no,always,126948,2,3,2,8.0,11,yes,40,new delhi,delhi,india,always,10,12,yes,career growth,yes,68,06-04-2017,10+,10+,10+,1-3,1
117,Madhav,Karan,m,19,single,graduate,r&d,content writer,field sales,07-09-2013,12,11,,4,2,93.0,3,2,4,yes,always,28799,13,2,1,5.0,2,no,36,hyderabad,telangana,india,always,12,6,yes,better pay,no,99,12-07-2025,10+,10+,10+,0-1,1
118,Sana,Chakrabarti,female,54,married,postgraduate,information tech,finance analyst,corporate,24-06-2014,11,11,516.0,2,2,57.0,3,2,2,yes,sometimes,87646,28,3,5,19.0,9,no,9,udaipur,rajasthan,india,rarely,14,2,no,,yes,43,25-11-2024,10+,10+,10+,3-5,0
119,Aarush,Joshi,female,75,divorced,high school,sales,marketing specialist,technology,22-09-2022,3,2,243.0,3,1,61.0,0,1,1,no,sometimes,87960,20,1,5,,14,yes,30,kolkata,west bengal,pakistan,always,13,8,yes,career growth,no,73,07-06-2024,1-3,1-3,10+,3-5,1
120,Umang,Lala,femle,51,divorced,postgraduate,legal,hr manager,technology,09-07-2014,11,8,169.0,4,1,84.0,2,3,4,no,often,129425,17,1,5,,14,no,18,noida,uttar pradesh,india,rarely,10,ten,yes,career growth,yes,8,03-06-2020,10+,5-10,10+,3-5,1
121,Aniruddh,Basu,f,60,widowed,high school,r&d,software engineer,technology,24-08-2020,5,4,407.0,4,3,83.0,2,4,3,no,never,135917,13,1,5,19.0,2,no,39,jaipur,rajasthan,india,frequently,7,ten,yes,career growth,yes,83,19-04-2025,3-5,3-5,10+,3-5,1
122,Hansh,Dutt,femle,23,single,doctorate,sales,data scientist,corporate,"Nov 26, 2009",16,15,,4,3,48.0,4,0,3,no,sometimes,171746,8,3,5,,20,yes,20,hyderabad,telangana,bhutan,rarely,6,ten,no,work-life balance,no,46,21-01-2021,10+,10+,10+,3-5,0
123,Tara,Comar,other,36,widowed,graduate,it,analyst,field sales,02-07-2016,9,6,29.0,2,5,24.0,0,1,2,yes,always,27015,13,2,0,11.0,14,no,39,pune,maharashtra,india,rarely,5,2,yes,better pay,yes,42,03-06-2023,5-10,5-10,10+,0-1,1
124,Purab,Rout,m,42,married,postgraduate,quality assurance,operations executive,technology,"May 08, 2016",9,8,,5,4,13.0,3,3,5,yes,often,51674,11,2,3,,5,yes,21,surat,gujarat,india,frequently,20,7,no,,no,90,08-06-2019,5-10,5-10,10+,1-3,0
125,Damini,Sandal,femle,19,widowed,graduate,finance,finance analyst,corporate,"Mar 08, 2015",10,8,,4,3,73.0,1,4,2,no,always,38271,14,3,1,7.0,11,yes,26,mangalore,karnataka,india,always,15,ten,yes,better pay,no,3,04-10-2021,5-10,5-10,10+,0-1,1
126,Charvi,Dhingra,female,24,widowed,graduate,finance,business analyst,field sales,19-04-2025,0,0,,2,5,89.0,4,4,2,yes,often,28915,22,1,2,10.0,0,yes,32,mumbai,maharashtra,india,rarely,10,12,no,career growth,yes,37,17-05-2025,0-1,0-1,10+,1-3,0
127,Stuvan,Buch,femle,46,divorced,graduate,information tech,project manager,corporate,"Jan 04, 2012",13,10,,1,5,31.0,4,1,4,yes,always,69285,12,2,3,3.0,2,no,12,jaipur,rajasthan,india,frequently,7,ten,no,work-life balance,yes,43,02-10-2017,10+,5-10,10+,1-3,0
128,Badal,Vasa,other,41,single,postgraduate,customer support,finance analyst,field sales,03-02-2023,2,2,363.0,3,4,23.0,2,3,5,no,sometimes,160629,12,2,2,,14,no,22,nagpur,maharashtra,india,rarely,7,3,no,work-life balance,yes,46,27-12-2024,1-3,1-3,10+,1-3,0
129,Nayantara,Dalal,male,37,divorced,graduate,marketing,project manager,corporate,26-02-2025,0,0,197.0,2,6,8.0,1,3,4,yes,never,174103,18,0,1,,17,no,50,ahmedabad,gujarat,india,always,14,4,yes,work-life balance,no,77,12-05-2025,0-1,0-1,5-10,0-1,1
130,Mishti,Banerjee,f,48,divorced,graduate,admin,devops engineer,technology,23-09-2024,1,0,11.0,1,4,79.0,0,0,4,no,sometimes,79602,17,2,1,10.0,16,no,40,bengaluru,karnataka,bhutan,always,2,ten,no,work-life balance,no,78,11-02-2025,0-1,0-1,10+,0-1,0
131,Akarsh,Kale,male,55,married,graduate,operations,marketing specialist,corporate,"Feb 25, 2025",0,0,,5,5,73.0,2,2,2,yes,often,91254,19,2,3,,17,yes,36,hyderabad,telangana,india,always,7,9,no,work-life balance,yes,94,04-08-2025,0-1,0-1,10+,1-3,0
132,Lavanya,Sabharwal,femle,26,single,doctorate,finance,operations executive,corporate,"Jan 31, 2022",3,2,57.0,3,5,50.0,5,5,1,yes,always,62728,25,1,5,,14,no,9,ahmedabad,gujarat,india,always,18,ten,yes,career growth,yes,42,01-04-2022,1-3,1-3,10+,3-5,1
133,Ryan,Bakshi,f,31,divorced,doctorate,supply chain,operations executive,corporate,04-02-2015,10,9,,3,1,16.0,5,0,4,yes,rarely,70356,4,2,3,,10,no,16,ahmedabad,gujarat,nepal,always,9,ten,no,better pay,yes,6,15-12-2023,5-10,5-10,10+,1-3,0
134,Raghav,Kara,female,54,widowed,high school,sales,customer support rep,corporate,21-08-2016,9,9,333.0,4,6,55.0,2,5,1,no,sometimes,149874,6,0,3,,6,no,30,mysuru,karnataka,india,rarely,1,7,no,work-life balance,yes,74,09-03-2017,5-10,5-10,10+,1-3,0
135,Ira,Varghese,female,53,widowed,doctorate,information tech,project manager,field sales,"Dec 10, 2012",13,12,397.0,5,4,39.0,0,2,3,no,always,51506,15,1,5,3.0,8,no,2,hyderabad,telangana,india,always,12,12,no,,no,92,10-01-2024,10+,10+,10+,3-5,0
136,Aaina,Handa,f,28,married,graduate,quality assurance,ui/ux designer,corporate,13-09-2015,10,8,,2,4,0.5499999999999998,2,1,2,no,rarely,133791,14,0,5,,1,yes,41,chennai,tamil nadu,india,rarely,16,ten,yes,better pay,no,16,15-12-2020,5-10,5-10,0-1,3-5,1
137,Lakshay,Suri,male,46,single,graduate,admin,software engineer,field sales,10-03-2021,4,1,,4,5,43.0,0,3,1,yes,never,86701,30,2,3,,12,no,24,new delhi,delhi,india,frequently,6,11,no,,no,90,13-09-2025,3-5,0-1,10+,1-3,0
138,Vardaniya,Suri,f,23,married,graduate,hr,software engineer,corporate,"Apr 09, 2024",1,0,,5,2,67.0,0,3,3,no,rarely,48438,4,3,3,13.0,5,yes,6,hyderabad,telangana,india,always,2,2,yes,career growth,yes,60,30-03-2025,0-1,0-1,10+,1-3,1
139,Nirvaan,Sarin,femle,33,widowed,high school,it,qa engineer,corporate,14-02-2013,12,12,58.0,3,5,4.0,4,0,5,yes,rarely,96867,15,3,0,5.0,9,no,48,new delhi,delhi,india,frequently,1,5,yes,better pay,no,85,13-03-2022,10+,10+,3-5,0-1,1
140,Aarush,Chada,female,51,married,doctorate,marketing,legal associate,corporate,06-02-2011,14,14,301.0,5,2,55.0,4,2,3,yes,never,89827,20,2,5,,15,yes,46,nagpur,maharashtra,india,rarely,18,9,no,work-life balance,yes,61,20-10-2021,10+,10+,10+,3-5,0
141,Mehul,Chaudhary,female,47,married,graduate,design,finance analyst,field sales,"Sep 27, 2022",3,2,266.0,3,5,81.0,5,0,2,no,often,39130,22,1,2,21.0,0,no,32,kolkata,west bengal,india,always,13,10,no,work-life balance,no,88,22-12-2022,1-3,1-3,10+,1-3,0
142,Kartik,Arora,f,30,marrid,graduate,supply chain,data scientist,field sales,14-07-2019,6,5,532.0,1,6,17.0,2,4,4,yes,sometimes,111102,27,1,2,13.0,8,yes,23,mysuru,karnataka,india,always,5,ten,yes,better pay,yes,43,16-11-2019,5-10,3-5,10+,1-3,1
143,Yasmin,Gupta,f,31,marrid,high school,design,operations executive,corporate,"Dec 19, 2023",2,1,460.0,3,2,2.0,3,4,4,yes,often,110666,2,3,1,,4,yes,33,ahmedabad,gujarat,india,rarely,13,ten,no,better pay,no,27,07-01-2025,1-3,0-1,1-3,0-1,0
144,Bhamini,Bose,m,44,single,graduate,supply chain,project manager,field sales,03-06-2015,10,8,14.0,1,5,28.0,1,0,4,no,always,71944,22,1,0,,19,no,37,chennai,tamil nadu,india,always,20,14,no,work-life balance,yes,48,17-11-2018,5-10,5-10,10+,0-1,0
145,Yasmin,Savant,female,35,widowed,high school,finance,legal associate,technology,01-09-2014,11,11,,4,4,3.0,2,5,2,yes,often,38658,19,2,2,,1,yes,22,bengaluru,karnataka,bangladesh,always,19,2,yes,career growth,yes,75,16-03-2022,10+,10+,1-3,1-3,1
146,Taimur,Walia,female,19,single,doctorate,information tech,r&d scientist,technology,04-08-2010,15,12,,1,4,27.0,5,5,1,no,rarely,35508,27,1,0,29.0,8,yes,42,siliguri,west bengal,india,rarely,11,13,yes,career growth,no,74,14-03-2025,10+,10+,10+,0-1,1
147,Onkar,Khurana,femle,39,widowed,graduate,finance,data scientist,technology,22-09-2024,1,0,,2,4,36.0,1,3,2,yes,sometimes,131691,7,2,1,,16,no,16,kolkata,west bengal,india,frequently,14,ten,no,career growth,no,16,29-11-2024,0-1,0-1,10+,0-1,0
148,Samarth,Bhatti,female,33,marrid,high school,finance,product manager,field sales,04-07-2017,8,6,,1,2,92.0,0,0,2,no,sometimes,85367,0,1,2,,15,yes,45,udaipur,rajasthan,india,frequently,9,ten,no,,yes,67,15-10-2018,5-10,5-10,10+,1-3,0
149,Faiyaz,Bhandari,m,57,single,postgraduate,admin,ui/ux designer,field sales,13-01-2011,14,14,427.0,3,6,22.0,3,4,5,no,always,196719,20,2,1,,11,yes,43,mumbai,maharashtra,india,frequently,15,ten,yes,work-life balance,yes,36,11-05-2025,10+,10+,10+,0-1,1
150,Saksham,Vora,m,53,widowed,graduate,information tech,customer support rep,corporate,02-11-2017,8,5,,3,1,42.0,3,0,5,yes,rarely,114074,14,1,5,18.0,6,no,44,new delhi,delhi,india,rarely,17,6,no,work-life balance,no,63,16-10-2018,5-10,3-5,10+,3-5,0
151,Adah,Sama,m,33,marrid,postgraduate,legal,legal associate,corporate,"Jan 05, 2015",10,7,420.0,1,6,46.0,3,1,1,no,often,89973,11,2,5,,17,no,39,lucknow,uttar pradesh,india,frequently,19,1,no,career growth,no,10,31-08-2021,5-10,5-10,10+,3-5,0
152,Dhanuk,Apte,m,22,married,high school,i.t,sales executive,field sales,17-08-2009,16,13,446.0,5,1,34.0,2,5,4,yes,always,132654,7,3,3,,20,yes,32,ahmedabad,gujarat,india,always,20,ten,yes,,yes,15,28-11-2022,10+,10+,10+,1-3,1
153,Adah,Bedi,male,20,single,graduate,design,marketing specialist,field sales,06-06-2009,16,16,,3,2,90.0,4,1,1,no,always,33487,9,1,3,,13,no,37,mumbai,maharashtra,india,always,4,7,no,,yes,2,05-03-2013,10+,10+,10+,1-3,0
154,Vanya,Boase,m,28,single,postgraduate,quality assurance,hr manager,technology,"Feb 25, 2010",15,15,522.0,2,1,45.0,1,0,2,no,always,56378,16,3,3,29.0,1,no,21,surat,gujarat,india,frequently,12,13,no,better pay,yes,13,24-01-2021,10+,10+,10+,1-3,0
155,Trisha,Chaudhuri,male,18,divorced,high school,product,data scientist,technology,07-12-2020,5,4,446.0,1,5,18.0,2,5,2,no,always,69928,7,1,3,,19,yes,34,siliguri,west bengal,india,frequently,18,5,no,,yes,39,18-10-2024,3-5,3-5,10+,1-3,0
156,Vardaniya,Chaudhari,f,36,marrid,graduate,legal,finance analyst,corporate,04-06-2014,11,11,181.0,1,6,47.0,0,2,2,yes,sometimes,84163,26,3,3,7.0,8,yes,6,noida,uttar pradesh,india,rarely,1,8,no,,no,69,22-05-2016,10+,10+,10+,1-3,0
157,Indrajit,Kapur,m,26,divorced,graduate,customer support,ui/ux designer,corporate,"Jul 05, 2023",2,2,,1,3,84.0,0,4,3,no,sometimes,57470,20,1,2,2.0,10,no,17,siliguri,west bengal,india,frequently,4,4,yes,,yes,15,22-05-2025,1-3,1-3,10+,1-3,1
158,Damini,Ravel,female,33,marrid,high school,i.t,content writer,corporate,19-09-2011,14,14,,5,1,71.0,0,2,1,no,rarely,25773,24,0,5,29.0,16,yes,27,new delhi,delhi,india,rarely,5,8,no,work-life balance,yes,82,22-05-2014,10+,10+,10+,3-5,0
159,Tara,Tiwari,male,75,divorced,high school,design,ui/ux designer,technology,"Jul 03, 2022",3,2,358.0,3,2,70.0,4,3,2,yes,never,38529,4,1,2,,5,yes,23,chennai,tamil nadu,india,rarely,12,ten,yes,,no,91,02-04-2023,1-3,1-3,10+,1-3,1
160,Jayesh,Ratti,m,52,divorced,graduate,product,data scientist,field sales,"Dec 02, 2023",2,0,,1,6,47.0,5,3,3,yes,always,93813,9,1,5,13.0,19,no,14,bengaluru,karnataka,india,always,7,ten,no,career growth,no,40,20-11-2024,1-3,0-1,10+,3-5,0
161,Gokul,De,m,44,widowed,doctorate,sales,finance analyst,technology,08-11-2018,7,6,,3,2,50.0,4,4,3,yes,always,155063,12,3,5,20.0,18,no,27,nagpur,maharashtra,india,always,8,5,yes,,yes,57,11-06-2019,5-10,5-10,10+,3-5,1
162,Dhanush,Malhotra,f,28,marrid,graduate,admin,product manager,field sales,27-02-2011,14,12,,3,6,76.0,1,2,1,no,always,79481,13,2,1,,7,no,40,ahmedabad,gujarat,india,always,8,ten,no,career growth,no,51,07-11-2020,10+,10+,10+,0-1,0
163,Manikya,Kale,f,20,single,graduate,information tech,business analyst,technology,08-11-2018,7,5,537.0,2,1,45.0,1,5,2,yes,sometimes,195313,2,1,1,1.0,15,no,25,thiruvananthapuram,kerala,bangladesh,rarely,1,9,no,,no,47,10-12-2020,5-10,3-5,10+,0-1,0
164,Jivin,Date,f,29,marrid,doctorate,quality assurance,qa engineer,field sales,04-03-2016,9,9,,4,6,21.0,4,0,3,no,often,85727,30,3,5,,16,yes,5,surat,gujarat,nepal,always,14,ten,no,work-life balance,no,29,11-11-2019,5-10,5-10,10+,3-5,0
165,Shalv,Bath,female,55,single,postgraduate,it,data scientist,technology,03-02-2019,6,5,452.0,4,3,40.0,3,2,3,yes,often,26039,18,2,0,18.0,3,yes,18,hyderabad,telangana,india,always,1,5,yes,better pay,no,60,09-01-2020,5-10,3-5,10+,0-1,1
166,Drishya,Choudhry,f,60,divorced,graduate,operations,devops engineer,field sales,"Jan 16, 2013",12,11,,3,5,55.0,1,4,3,yes,sometimes,68236,10,3,0,13.0,11,yes,17,ahmedabad,gujarat,india,rarely,13,9,no,work-life balance,no,27,26-06-2015,10+,10+,10+,0-1,0
167,Faiyaz,Ratta,f,33,single,doctorate,information tech,finance analyst,technology,04-03-2021,4,1,,2,1,87.0,3,2,2,yes,always,28098,22,0,3,,16,no,33,chennai,tamil nadu,india,rarely,12,ten,yes,career growth,no,84,08-04-2022,3-5,0-1,10+,1-3,1
168,Myra,Sachar,male,18,single,graduate,operations,devops engineer,field sales,"Aug 27, 2017",8,5,419.0,5,6,36.0,0,1,2,yes,rarely,81646,21,2,2,12.0,9,yes,15,mumbai,maharashtra,india,frequently,6,ten,no,career growth,no,99,17-12-2021,5-10,3-5,10+,1-3,0
169,Piya,Tata,male,58,widowed,high school,quality assurance,customer support rep,technology,"Dec 04, 2011",14,12,413.0,5,2,99.0,2,0,5,yes,always,144921,24,0,5,,13,yes,17,coimbatore,tamil nadu,india,always,10,7,no,career growth,no,53,26-08-2016,10+,10+,10+,3-5,0
170,Rati,Jain,m,59,divorced,doctorate,quality assurance,analyst,field sales,"Jan 26, 2021",4,1,,3,4,86.0,4,5,2,no,sometimes,50294,25,3,5,,18,no,49,hyderabad,telangana,india,frequently,6,7,no,,yes,62,11-07-2022,3-5,0-1,10+,3-5,0
171,Vaibhav,Uppal,femle,20,married,doctorate,r&d,data scientist,field sales,20-06-2017,8,7,,1,6,79.0,1,1,4,yes,never,60647,28,1,5,,18,no,40,kochi,kerala,india,always,16,2,no,better pay,yes,86,19-12-2019,5-10,5-10,10+,3-5,0
172,Farhan,Kata,male,35,widowed,graduate,product,data scientist,technology,29-07-2014,11,11,,5,1,78.0,2,0,4,no,rarely,84393,17,1,1,30.0,1,yes,19,nagpur,maharashtra,india,always,13,ten,yes,better pay,no,24,16-05-2023,10+,10+,10+,0-1,1
173,Misha,Sama,other,21,divorced,high school,legal,legal associate,corporate,"May 31, 2011",14,12,,2,2,70.0,4,3,3,no,often,129398,1,1,2,30.0,2,no,4,coimbatore,tamil nadu,india,rarely,17,ten,no,career growth,yes,7,01-04-2012,10+,10+,10+,1-3,0
174,Anya,Aurora,other,22,married,graduate,marketing,devops engineer,corporate,18-05-2012,13,12,,1,3,11.0,5,0,1,yes,always,39182,8,0,3,3.0,9,yes,43,mumbai,maharashtra,india,frequently,14,ten,yes,better pay,yes,19,22-04-2021,10+,10+,10+,1-3,1
175,Aaina,Jaggi,femle,34,widowed,high school,it,operations executive,technology,"Sep 23, 2013",12,9,19.0,4,5,83.0,1,4,5,no,never,107002,12,3,1,10.0,15,no,27,coimbatore,tamil nadu,india,rarely,9,7,no,better pay,no,32,03-12-2018,10+,5-10,10+,0-1,0
176,Umang,Sampath,other,57,marrid,postgraduate,it,r&d scientist,field sales,03-06-2009,16,14,,5,5,60.0,2,0,4,yes,always,183684,23,3,3,,8,no,44,noida,uttar pradesh,pakistan,frequently,13,1,no,better pay,no,73,11-07-2014,10+,10+,10+,1-3,0
177,Kanav,Chander,male,75,single,graduate,quality assurance,business analyst,corporate,23-08-2021,4,1,159.0,4,6,75.0,2,0,1,no,never,51197,14,1,3,24.0,19,yes,16,thiruvananthapuram,kerala,india,rarely,2,ten,no,,no,52,02-03-2023,3-5,0-1,10+,1-3,0
178,Shamik,Khanna,f,34,divorced,graduate,quality assurance,devops engineer,corporate,03-06-2020,5,5,,4,5,69.0,4,0,5,no,sometimes,34285,30,3,2,12.0,18,yes,46,new delhi,delhi,india,always,14,5,yes,work-life balance,yes,92,20-04-2022,3-5,3-5,10+,1-3,1
179,Zaina,Bawa,m,18,divorced,graduate,hr,software engineer,technology,21-09-2009,16,13,335.0,5,3,81.0,0,1,3,no,never,91982,11,3,5,,12,no,19,mangalore,karnataka,india,always,17,10,yes,career growth,no,66,30-01-2021,10+,10+,10+,3-5,1
180,Raunak,Bora,female,29,single,graduate,sales,finance analyst,field sales,08-09-2009,16,15,157.0,5,4,68.0,1,4,4,no,never,74783,23,1,0,,4,yes,36,coimbatore,tamil nadu,india,rarely,14,9,yes,career growth,no,82,07-01-2013,10+,10+,10+,0-1,1
181,Gokul,Behl,f,24,married,doctorate,it,analyst,corporate,07-05-2021,4,1,,3,1,77.0,0,3,3,no,rarely,23094,23,1,0,,3,yes,47,pune,maharashtra,india,frequently,16,ten,yes,work-life balance,yes,67,26-01-2024,3-5,0-1,10+,0-1,1
182,Zara,Badami,f,52,married,postgraduate,it,devops engineer,corporate,"Nov 15, 2016",9,8,,2,6,99.0,0,4,2,yes,sometimes,66382,12,1,0,,8,no,10,udaipur,rajasthan,india,frequently,0,ten,yes,,no,81,16-02-2024,5-10,5-10,10+,0-1,1
183,Kimaya,Virk,femle,53,single,doctorate,product,r&d scientist,corporate,10-07-2013,12,12,227.0,4,4,78.0,3,0,1,yes,rarely,59614,11,0,2,,2,no,38,surat,gujarat,india,frequently,0,7,yes,work-life balance,yes,13,17-09-2013,10+,10+,10+,1-3,1
184,Shanaya,Bedi,femle,29,widowed,doctorate,marketing,software engineer,technology,13-02-2010,15,14,516.0,1,1,76.0,4,1,4,no,rarely,96000,3,0,1,,15,no,12,jaipur,rajasthan,india,rarely,15,5,no,,no,54,17-03-2025,10+,10+,10+,0-1,0
185,Vidur,Bhasin,male,22,marrid,doctorate,customer support,project manager,field sales,04-05-2020,5,5,,1,6,77.0,5,4,4,no,rarely,83522,18,1,3,,13,yes,3,kolkata,west bengal,india,always,14,9,no,career growth,no,71,02-04-2021,3-5,3-5,10+,1-3,0
186,Shayak,Borah,f,60,widowed,doctorate,it,data scientist,technology,19-03-2025,0,0,56.0,1,5,21.0,3,2,4,yes,never,68806,17,2,0,,20,yes,20,hyderabad,telangana,india,rarely,6,5,no,career growth,yes,96,06-05-2025,0-1,0-1,10+,0-1,0
187,Rania,Bedi,other,19,divorced,graduate,information tech,business analyst,technology,"May 21, 2012",13,12,,5,1,40.0,3,0,1,no,sometimes,106826,0,0,2,,5,no,13,kochi,kerala,india,rarely,16,ten,yes,,no,6,14-08-2014,10+,10+,10+,1-3,1
